Popravljeno ; 18.02.2018 ; 11:52:47.379 ; 105556 ; Produkt 1 ; 50,5 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 18:53:35.619 ; 105559 ; Produkt 3 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:11:03.461 ; 105559 ; Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3Produkt 3 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:11:33.790 ; 105559 ; 123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:12:14.654 ; 105559 ; 123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:23:45.877 ; 105559 ; 12345678912345678912345678912345678912 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:40:08.910 ; 105559 ; 123456789123456789123456789123456789123 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:41:01.448 ; 105559 ; 1234567891234567891234567891234567891234 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:41:51.703 ; 105559 ; 12345678912345678912345678912345678912345 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:42:53.744 ; 105559 ; 123456789123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:43:23.448 ; 105559 ; 12345678912345678912345678912345678912345678912345 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:43:55.368 ; 105559 ; 123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:44:26.897 ; 105559 ; 12345678912345678912345678912345678912345 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:44:42.616 ; 105559 ; 123456789123456789123456789123456789123456 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:47:30.179 ; 105559 ; 1234567891234567891234567891234567891234567 ; 50 ; Rajh !?!
Popravljeno ; 19.02.2018 ; 19:47:55.746 ; 105559 ; 123456789123456789123456789123456789123456789123456789 ; 50 ; Rajh !?!
